version,trade_id,entry_mode,stock_code,stock_name,session,scan_session,decision_session,decision_time,session_valid_at_decision,strategy,TP,SL,signal_time,entry_time,exit_time,holding_sec,entry_price,exit_price,return_rate,MFE,MAE,result,score,signal_price,entry_decision_time,entry_signal_price,entry_delay_from_first75_sec,entry_vs_first75_pct,high_gap,trading_value_source,actual_trading_value,estimated_trading_value,first_ws_time,first_ws_price,first_ws_delay_sec,first_ws_vs_signal_pct,first_ws_vs_entry_pct,first_ws_gap_abs_pct,watch_start_time,watch_start_price,watch_start_score,watch_to_signal_sec,watch_episode_id,watch_episode_start_time,watch_episode_start_price,watch_episode_start_score,watch_episode_to_signal_sec,stock_entry_seq_today,mode_entry_seq_today,is_reentry,previous_same_mode_result,previous_same_mode_trade_id,scan_start_time,first_75_time,first_75_price,first_75_score,first_75_pre_result,first_75_pre_status,first_75_pre_reason,price_30s_positive,price_60s_positive,first75_price_30s_positive,had_prior_shadow_70_74,prior_shadow_trade_id,prior_shadow_time,prior_shadow_price,prior_shadow_score,prior_shadow_to_first75_sec,prior_shadow_to_first75_pct,pre_status,pre_entry_type,later_pass_origin,first_75_to_pre_entry_sec,confirm_first_signal_time,confirm_first_signal_price,confirm_delay_sec,confirm_rise_pct,price_change_15s,price_change_15s_actual_sec,price_change_30s,price_change_30s_actual_sec,price_change_60s,price_change_60s_actual_sec,price_change_120s,price_change_120s_actual_sec,price_change_180s,price_change_180s_actual_sec,price_change_300s,price_change_300s_actual_sec,high_gap_change_30s,high_gap_change_30s_actual_sec,high_gap_change_60s,high_gap_change_60s_actual_sec,high_gap_change_120s,high_gap_change_120s_actual_sec,high_gap_change_180s,high_gap_change_180s_actual_sec,high_gap_change_300s,high_gap_change_300s_actual_sec
v1.6.7,20260831_019170_SHADOW_SCORE_70_74_E001_090309718158,SHADOW_SCORE_70_74,019170,신풍제약,MAIN,MAIN,MAIN,2026-08-31 09:03:09.651,True,T100_S300,1.0,-3.0,2026-08-31 09:03:09.651,2026-08-31 09:03:09.718,2026-08-31 09:03:19.703,9.985,11521.51,11640.0,1.028,1.028,-0.273,TAKE_PROFIT,74,11510.0,2026-08-31 09:03:09.651,11510.0,,,0.43252595155709345,ACTUAL,45997000000.0,3016621370.0,2026-08-31 09:03:09.794,11500.0,0.142186,-0.08688097306689835,-0.18669427878809638,0.08688097306689835,2026-08-31 09:02:18.710,11020.0,60.0,50.941675,20260831_019170_E001,2026-08-31 09:02:18.710,11020.0,60.0,50.941675,1,1,False,,,2026-08-31 09:03:05.760,,,,,,,True,True,,False,,,,,,,,,,,,,,,-0.08680555555555555,15.454787969589233,0.7880910683012259,31.06540060043335,14.073339940535185,62.88805651664734,14.073339940535185,124.07961964607239,14.073339940535185,185.56956720352173,,,0.2577007767319186,31.06540060043335,-0.1986733270723024,47.05028533935547,,,,,,
v1.6.7,20260831_019170_SHADOW_SCORE_70_74_E001_090309718158,SHADOW_SCORE_70_74,019170,신풍제약,MAIN,MAIN,MAIN,2026-08-31 09:03:09.651,True,T100_S325,1.0,-3.25,2026-08-31 09:03:09.651,2026-08-31 09:03:09.718,2026-08-31 09:03:19.703,9.985,11521.51,11640.0,1.028,1.028,-0.273,TAKE_PROFIT,74,11510.0,2026-08-31 09:03:09.651,11510.0,,,0.43252595155709345,ACTUAL,45997000000.0,3016621370.0,2026-08-31 09:03:09.794,11500.0,0.142186,-0.08688097306689835,-0.18669427878809638,0.08688097306689835,2026-08-31 09:02:18.710,11020.0,60.0,50.941675,20260831_019170_E001,2026-08-31 09:02:18.710,11020.0,60.0,50.941675,1,1,False,,,2026-08-31 09:03:05.760,,,,,,,True,True,,False,,,,,,,,,,,,,,,-0.08680555555555555,15.454787969589233,0.7880910683012259,31.06540060043335,14.073339940535185,62.88805651664734,14.073339940535185,124.07961964607239,14.073339940535185,185.56956720352173,,,0.2577007767319186,31.06540060043335,-0.1986733270723024,47.05028533935547,,,,,,
v1.6.7,20260831_019170_SHADOW_SCORE_70_74_E001_090309718158,SHADOW_SCORE_70_74,019170,신풍제약,MAIN,MAIN,MAIN,2026-08-31 09:03:09.651,True,T100_S350,1.0,-3.5,2026-08-31 09:03:09.651,2026-08-31 09:03:09.718,2026-08-31 09:03:19.703,9.985,11521.51,11640.0,1.028,1.028,-0.273,TAKE_PROFIT,74,11510.0,2026-08-31 09:03:09.651,11510.0,,,0.43252595155709345,ACTUAL,45997000000.0,3016621370.0,2026-08-31 09:03:09.794,11500.0,0.142186,-0.08688097306689835,-0.18669427878809638,0.08688097306689835,2026-08-31 09:02:18.710,11020.0,60.0,50.941675,20260831_019170_E001,2026-08-31 09:02:18.710,11020.0,60.0,50.941675,1,1,False,,,2026-08-31 09:03:05.760,,,,,,,True,True,,False,,,,,,,,,,,,,,,-0.08680555555555555,15.454787969589233,0.7880910683012259,31.06540060043335,14.073339940535185,62.88805651664734,14.073339940535185,124.07961964607239,14.073339940535185,185.56956720352173,,,0.2577007767319186,31.06540060043335,-0.1986733270723024,47.05028533935547,,,,,,
v1.6.7,20260831_019170_SHADOW_SCORE_70_74_E001_090309718158,SHADOW_SCORE_70_74,019170,신풍제약,MAIN,MAIN,MAIN,2026-08-31 09:03:09.651,True,T125_S050,1.25,-0.5,2026-08-31 09:03:09.651,2026-08-31 09:03:09.718,2026-08-31 09:03:21.395,11.677,11521.51,11670.0,1.289,1.289,-0.273,TAKE_PROFIT,74,11510.0,2026-08-31 09:03:09.651,11510.0,,,0.43252595155709345,ACTUAL,45997000000.0,3016621370.0,2026-08-31 09:03:09.794,11500.0,0.142186,-0.08688097306689835,-0.18669427878809638,0.08688097306689835,2026-08-31 09:02:18.710,11020.0,60.0,50.941675,20260831_019170_E001,2026-08-31 09:02:18.710,11020.0,60.0,50.941675,1,1,False,,,2026-08-31 09:03:05.760,,,,,,,True,True,,False,,,,,,,,,,,,,,,-0.08680555555555555,15.454787969589233,0.7880910683012259,31.06540060043335,14.073339940535185,62.88805651664734,14.073339940535185,124.07961964607239,14.073339940535185,185.56956720352173,,,0.2577007767319186,31.06540060043335,-0.1986733270723024,47.05028533935547,,,,,,
v1.6.7,20260831_019170_SHADOW_SCORE_70_74_E001_090309718158,SHADOW_SCORE_70_74,019170,신풍제약,MAIN,MAIN,MAIN,2026-08-31 09:03:09.651,True,T125_S075,1.25,-0.75,2026-08-31 09:03:09.651,2026-08-31 09:03:09.718,2026-08-31 09:03:21.395,11.677,11521.51,11670.0,1.289,1.289,-0.273,TAKE_PROFIT,74,11510.0,2026-08-31 09:03:09.651,11510.0,,,0.43252595155709345,ACTUAL,45997000000.0,3016621370.0,2026-08-31 09:03:09.794,11500.0,0.142186,-0.08688097306689835,-0.18669427878809638,0.08688097306689835,2026-08-31 09:02:18.710,11020.0,60.0,50.941675,20260831_019170_E001,2026-08-31 09:02:18.710,11020.0,60.0,50.941675,1,1,False,,,2026-08-31 09:03:05.760,,,,,,,True,True,,False,,,,,,,,,,,,,,,-0.08680555555555555,15.454787969589233,0.7880910683012259,31.06540060043335,14.073339940535185,62.88805651664734,14.073339940535185,124.07961964607239,14.073339940535185,185.56956720352173,,,0.2577007767319186,31.06540060043335,-0.1986733270723024,47.05028533935547,,,,,,
v1.6.7,20260831_019170_SHADOW_SCORE_70_74_E001_090309718158,SHADOW_SCORE_70_74,019170,신풍제약,MAIN,MAIN,MAIN,2026-08-31 09:03:09.651,True,T125_S100,1.25,-1.0,2026-08-31 09:03:09.651,2026-08-31 09:03:09.718,2026-08-31 09:03:21.396,11.678,11521.51,11670.0,1.289,1.289,-0.273,TAKE_PROFIT,74,11510.0,2026-08-31 09:03:09.651,11510.0,,,0.43252595155709345,ACTUAL,45997000000.0,3016621370.0,2026-08-31 09:03:09.794,11500.0,0.142186,-0.08688097306689835,-0.18669427878809638,0.08688097306689835,2026-08-31 09:02:18.710,11020.0,60.0,50.941675,20260831_019170_E001,2026-08-31 09:02:18.710,11020.0,60.0,50.941675,1,1,False,,,2026-08-31 09:03:05.760,,,,,,,True,True,,False,,,,,,,,,,,,,,,-0.08680555555555555,15.454787969589233,0.7880910683012259,31.06540060043335,14.073339940535185,62.88805651664734,14.073339940535185,124.07961964607239,14.073339940535185,185.56956720352173,,,0.2577007767319186,31.06540060043335,-0.1986733270723024,47.05028533935547,,,,,,
v1.6.7,20260831_019170_SHADOW_SCORE_70_74_E001_090309718158,SHADOW_SCORE_70_74,019170,신풍제약,MAIN,MAIN,MAIN,2026-08-31 09:03:09.651,True,T125_S125,1.25,-1.25,2026-08-31 09:03:09.651,2026-08-31 09:03:09.718,2026-08-31 09:03:21.396,11.678,11521.51,11670.0,1.289,1.289,-0.273,TAKE_PROFIT,74,11510.0,2026-08-31 09:03:09.651,11510.0,,,0.43252595155709345,ACTUAL,45997000000.0,3016621370.0,2026-08-31 09:03:09.794,11500.0,0.142186,-0.08688097306689835,-0.18669427878809638,0.08688097306689835,2026-08-31 09:02:18.710,11020.0,60.0,50.941675,20260831_019170_E001,2026-08-31 09:02:18.710,11020.0,60.0,50.941675,1,1,False,,,2026-08-31 09:03:05.760,,,,,,,True,True,,False,,,,,,,,,,,,,,,-0.08680555555555555,15.454787969589233,0.7880910683012259,31.06540060043335,14.073339940535185,62.88805651664734,14.073339940535185,124.07961964607239,14.073339940535185,185.56956720352173,,,0.2577007767319186,31.06540060043335,-0.1986733270723024,47.05028533935547,,,,,,
v1.6.7,20260831_019170_SHADOW_SCORE_70_74_E001_090309718158,SHADOW_SCORE_70_74,019170,신풍제약,MAIN,MAIN,MAIN,2026-08-31 09:03:09.651,True,T125_S150,1.25,-1.5,2026-08-31 09:03:09.651,2026-08-31 09:03:09.718,2026-08-31 09:03:21.396,11.678,11521.51,11670.0,1.289,1.289,-0.273,TAKE_PROFIT,74,11510.0,2026-08-31 09:03:09.651,11510.0,,,0.43252595155709345,ACTUAL,45997000000.0,3016621370.0,2026-08-31 09:03:09.794,11500.0,0.142186,-0.08688097306689835,-0.18669427878809638,0.08688097306689835,2026-08-31 09:02:18.710,11020.0,60.0,50.941675,20260831_019170_E001,2026-08-31 09:02:18.710,11020.0,60.0,50.941675,1,1,False,,,2026-08-31 09:03:05.760,,,,,,,True,True,,False,,,,,,,,,,,,,,,-0.08680555555555555,15.454787969589233,0.7880910683012259,31.06540060043335,14.073339940535185,62.88805651664734,14.073339940535185,124.07961964607239,14.073339940535185,185.56956720352173,,,0.2577007767319186,31.06540060043335,-0.1986733270723024,47.05028533935547,,,,,,
v1.6.7,20260831_019170_SHADOW_SCORE_70_74_E001_090309718158,SHADOW_SCORE_70_74,019170,신풍제약,MAIN,MAIN,MAIN,2026-08-31 09:03:09.651,True,T125_S175,1.25,-1.75,2026-08-31 09:03:09.651,2026-08-31 09:03:09.718,2026-08-31 09:03:21.396,11.678,11521.51,11670.0,1.289,1.289,-0.273,TAKE_PROFIT,74,11510.0,2026-08-31 09:03:09.651,11510.0,,,0.43252595155709345,ACTUAL,45997000000.0,3016621370.0,2026-08-31 09:03:09.794,11500.0,0.142186,-0.08688097306689835,-0.18669427878809638,0.08688097306689835,2026-08-31 09:02:18.710,11020.0,60.0,50.941675,20260831_019170_E001,2026-08-31 09:02:18.710,11020.0,60.0,50.941675,1,1,False,,,2026-08-31 09:03:05.760,,,,,,,True,True,,False,,,,,,,,,,,,,,,-0.08680555555555555,15.454787969589233,0.7880910683012259,31.06540060043335,14.073339940535185,62.88805651664734,14.073339940535185,124.07961964607239,14.073339940535185,185.56956720352173,,,0.2577007767319186,31.06540060043335,-0.1986733270723024,47.05028533935547,,,,,,
v1.6.7,20260831_019170_SHADOW_SCORE_70_74_E001_090309718158,SHADOW_SCORE_70_74,019170,신풍제약,MAIN,MAIN,MAIN,2026-08-31 09:03:09.651,True,T125_S200,1.25,-2.0,2026-08-31 09:03:09.651,2026-08-31 09:03:09.718,2026-08-31 09:03:21.396,11.678,11521.51,11670.0,1.289,1.289,-0.273,TAKE_PROFIT,74,11510.0,2026-08-31 09:03:09.651,11510.0,,,0.43252595155709345,ACTUAL,45997000000.0,3016621370.0,2026-08-31 09:03:09.794,11500.0,0.142186,-0.08688097306689835,-0.18669427878809638,0.08688097306689835,2026-08-31 09:02:18.710,11020.0,60.0,50.941675,20260831_019170_E001,2026-08-31 09:02:18.710,11020.0,60.0,50.941675,1,1,False,,,2026-08-31 09:03:05.760,,,,,,,True,True,,False,,,,,,,,,,,,,,,-0.08680555555555555,15.454787969589233,0.7880910683012259,31.06540060043335,14.073339940535185,62.88805651664734,14.073339940535185,124.07961964607239,14.073339940535185,185.56956720352173,,,0.2577007767319186,31.06540060043335,-0.1986733270723024,47.05028533935547,,,,,,
v1.6.7,20260831_019170_SHADOW_SCORE_70_74_E001_090309718158,SHADOW_SCORE_70_74,019170,신풍제약,MAIN,MAIN,MAIN,2026-08-31 09:03:09.651,True,T125_S225,1.25,-2.25,2026-08-31 09:03:09.651,2026-08-31 09:03:09.718,2026-08-31 09:03:21.396,11.678,11521.51,11670.0,1.289,1.289,-0.273,TAKE_PROFIT,74,11510.0,2026-08-31 09:03:09.651,11510.0,,,0.43252595155709345,ACTUAL,45997000000.0,3016621370.0,2026-08-31 09:03:09.794,11500.0,0.142186,-0.08688097306689835,-0.18669427878809638,0.08688097306689835,2026-08-31 09:02:18.710,11020.0,60.0,50.941675,20260831_019170_E001,2026-08-31 09:02:18.710,11020.0,60.0,50.941675,1,1,False,,,2026-08-31 09:03:05.760,,,,,,,True,True,,False,,,,,,,,,,,,,,,-0.08680555555555555,15.454787969589233,0.7880910683012259,31.06540060043335,14.073339940535185,62.88805651664734,14.073339940535185,124.07961964607239,14.073339940535185,185.56956720352173,,,0.2577007767319186,31.06540060043335,-0.1986733270723024,47.05028533935547,,,,,,
v1.6.7,20260831_019170_SHADOW_SCORE_70_74_E001_090309718158,SHADOW_SCORE_70_74,019170,신풍제약,MAIN,MAIN,MAIN,2026-08-31 09:03:09.651,True,T125_S250,1.25,-2.5,2026-08-31 09:03:09.651,2026-08-31 09:03:09.718,2026-08-31 09:03:21.396,11.678,11521.51,11670.0,1.289,1.289,-0.273,TAKE_PROFIT,74,11510.0,2026-08-31 09:03:09.651,11510.0,,,0.43252595155709345,ACTUAL,45997000000.0,3016621370.0,2026-08-31 09:03:09.794,11500.0,0.142186,-0.08688097306689835,-0.18669427878809638,0.08688097306689835,2026-08-31 09:02:18.710,11020.0,60.0,50.941675,20260831_019170_E001,2026-08-31 09:02:18.710,11020.0,60.0,50.941675,1,1,False,,,2026-08-31 09:03:05.760,,,,,,,True,True,,False,,,,,,,,,,,,,,,-0.08680555555555555,15.454787969589233,0.7880910683012259,31.06540060043335,14.073339940535185,62.88805651664734,14.073339940535185,124.07961964607239,14.073339940535185,185.56956720352173,,,0.2577007767319186,31.06540060043335,-0.1986733270723024,47.05028533935547,,,,,,
