datetime,version,index_family,provider,stock_code,direction,snapshot_label,last,bid,ask,spread_pct,inav,data_age_ms,cost_model_version
2026-09-16 09:00:19.874,v2.1.2,KOSPI200,KODEX,069500,LONG,OPEN,104275.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 09:00:19.874,v2.1.2,KOSPI200,TIGER,102110,LONG,OPEN,104650.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 09:00:19.874,v2.1.2,KOSPI200,ACE,105190,LONG,OPEN,104570.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 09:00:19.874,v2.1.2,KOSPI200,KODEX,114800,INVERSE,OPEN,1051.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 09:00:19.874,v2.1.2,KOSDAQ150,KODEX,229200,LONG,OPEN,13685.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 09:00:19.874,v2.1.2,KOSDAQ150,TIGER,232080,LONG,OPEN,13830.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 09:00:19.874,v2.1.2,KOSDAQ150,ACE,354500,LONG,OPEN,13815.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 09:00:19.874,v2.1.2,KOSDAQ150,KODEX,251340,INVERSE,OPEN,2490.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 09:30:10.341,v2.1.2,KOSPI200,KODEX,069500,LONG,MORNING_END,105005.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 09:30:10.341,v2.1.2,KOSPI200,TIGER,102110,LONG,MORNING_END,105270.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 09:30:10.341,v2.1.2,KOSPI200,ACE,105190,LONG,MORNING_END,105160.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 09:30:10.341,v2.1.2,KOSPI200,KODEX,114800,INVERSE,MORNING_END,1044.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 09:30:10.341,v2.1.2,KOSDAQ150,KODEX,229200,LONG,MORNING_END,13557.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 09:30:10.341,v2.1.2,KOSDAQ150,TIGER,232080,LONG,MORNING_END,13815.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 09:30:10.341,v2.1.2,KOSDAQ150,ACE,354500,LONG,MORNING_END,13685.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 09:30:10.341,v2.1.2,KOSDAQ150,KODEX,251340,INVERSE,MORNING_END,2495.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-16 14:30:16.350,v2.1.2,KOSPI200,KODEX,069500,LONG,14:30,105735.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
