datetime,message
2026-09-08 22:25:53,========================================
2026-09-08 22:25:53,스크리너 시작 v1.7.1.1
2026-09-08 22:25:53,AUTO_TRADE_ENABLED = True
2026-09-08 22:25:53,⚠ 실제 주문 ON
2026-09-08 22:25:53,LIVE ENTRY = FIRST_75_PASS
2026-09-08 22:25:53,시간 = MAIN 09:05:00 이상 / 09:30:00 미만
2026-09-08 22:25:53,"종목당 최대 = 1,000,000원"
2026-09-08 22:25:53,하루 최대 = 5종목 / 동일종목 하루 1회
2026-09-08 22:25:53,TP/SL = +2.50% / -1.50%
2026-09-08 22:25:53,수익보호=False / 정오회복=False / 추정비용=0.24%
2026-09-08 22:25:53,========================================
2026-09-08 22:25:53,키움 접근토큰 발급 요청
2026-09-08 22:25:55,키움 접근토큰 발급 성공 / 만료: 20260909222555
2026-09-08 22:25:57,[DEBUG] 응답 LIST KEY = acnt_evlt_remn_indv_tot
2026-09-08 22:25:58,[DEBUG] 응답 LIST KEY = acnt_evlt_remn_indv_tot
2026-09-08 22:25:58,broker 시작 잔고 확인 / 기존보유 2종목
2026-09-08 22:26:00,[WebSocket] 연결 / LOGIN 전송
2026-09-08 22:26:00,[WebSocket] 로그인 성공
2026-09-08 22:26:04,[연구 queue 종료] remaining=0 / failures=0 / dropped_P2=0
2026-09-08 22:26:04,[WebSocket] 정상 종료
2026-09-08 22:26:04,[LiveExit 종료] 신규 제출 차단 / 대기 작업 cancel 요청
2026-09-08 22:26:04,[AccountCache 종료] 신규 제출 차단 / 대기 작업 cancel 요청
2026-09-08 22:26:04,[ResearchCompute 종료] 신규 제출 차단 / 대기 작업 cancel 요청
2026-09-08 22:26:04,[BrokerPrecheck 종료] 신규 제출 차단 / 대기 작업 cancel 요청
2026-09-08 22:26:04,[LiveSafety 종료] 신규 제출 차단 / 대기 작업 cancel 요청
2026-09-08 22:26:04,프로그램 정상 종료
2026-09-09 07:26:38,========================================
2026-09-09 07:26:38,스크리너 시작 v1.7.1.1
2026-09-09 07:26:38,AUTO_TRADE_ENABLED = True
2026-09-09 07:26:38,⚠ 실제 주문 ON
2026-09-09 07:26:38,LIVE ENTRY = FIRST_75_PASS
2026-09-09 07:26:38,시간 = MAIN 09:05:00 이상 / 09:30:00 미만
2026-09-09 07:26:38,"종목당 최대 = 1,000,000원"
2026-09-09 07:26:38,하루 최대 = 5종목 / 동일종목 하루 1회
2026-09-09 07:26:38,TP/SL = +2.50% / -1.50%
2026-09-09 07:26:38,수익보호=False / 정오회복=False / 추정비용=0.24%
2026-09-09 07:26:38,========================================
2026-09-09 07:26:38,키움 접근토큰 발급 요청
2026-09-09 07:26:39,키움 접근토큰 발급 성공 / 만료: 20260910072638
2026-09-09 07:26:39,이전 거래일 실전상태는 미해결 건이 없어 복구하지 않습니다.
2026-09-09 07:26:40,[DEBUG] 응답 LIST KEY = acnt_evlt_remn_indv_tot
2026-09-09 07:26:41,[DEBUG] 응답 LIST KEY = acnt_evlt_remn_indv_tot
2026-09-09 07:26:41,broker 시작 잔고 확인 / 기존보유 2종목
2026-09-09 07:26:42,[WebSocket] 연결 / LOGIN 전송
2026-09-09 07:26:42,[WebSocket] 로그인 성공
2026-09-09 07:53:25,[WebSocket] 연결 정상 종료 / 재연결
2026-09-09 07:53:27,[WebSocket] 연결 / LOGIN 전송
2026-09-09 07:53:27,[WebSocket] 로그인 성공
2026-09-09 08:00:03,===== 시장 스캔 시작 / scan_session=NXT_PRE / 08:00:03.901 =====
2026-09-09 08:00:05,[DEBUG] 응답 LIST KEY = acnt_evlt_remn_indv_tot
2026-09-09 08:00:06,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-09-09 08:00:06,KOSPI KA10027 69종목
2026-09-09 08:00:07,[DEBUG] 응답 LIST KEY = acnt_evlt_remn_indv_tot
2026-09-09 08:00:07,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-09-09 08:00:07,KOSDAQ KA10027 51종목
2026-09-09 08:00:07,사전필터 통과 0종목
2026-09-09 08:00:08,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-09-09 08:00:08,KOSPI KA10032 100종목
2026-09-09 08:00:08,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-09-09 08:00:08,KOSDAQ KA10032 100종목
2026-09-09 08:00:08,거래대금 데이터 출처 ACTUAL 0 / ESTIMATED 0
2026-09-09 08:00:08,거래대금 200억+ 통과 0종목
2026-09-09 08:00:08,고점필터 통과 0종목 / WATCH 60점+ 0종목 / 신호 75점+ 0종목 / Shadow 70~74점 0종목
2026-09-09 08:00:08,[KA10001 품질] 요청 0 / 성공 0 / 오류 0 / 429 0 / 502 0 / timeout 0
2026-09-09 08:00:08,[SCAN 품질] elapsed=5.0초 / gap=N/A / REST 연속오류스캔=0 / recovery=N/A
2026-09-09 08:00:08,===== 시장 스캔 종료 / 5.0초 =====
2026-09-09 08:00:18,===== 시장 스캔 시작 / scan_session=NXT_PRE / 08:00:18.942 =====
2026-09-09 08:00:19,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-09-09 08:00:19,KOSPI KA10027 101종목
2026-09-09 08:00:20,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-09-09 08:00:20,KOSDAQ KA10027 86종목
2026-09-09 08:00:20,사전필터 통과 0종목
2026-09-09 08:00:20,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-09-09 08:00:20,KOSPI KA10032 100종목
2026-09-09 08:00:21,[DEBUG] 응답 LIST KEY = trde_prica_upper
